"NC8";"Libelle";"CPF4 rév. 2";"CPF6 rév. 2";"A17 rév. 2";"A38 rév. 2";"A129 rév. 2";"CF4 rév. 2.1";"CPF6 rév. 2.1";"A17 rév. 2.1";"A38 rév. 2.1";"A129 rév. 2.1";"Début";"Fin"
"0101 21 00";"Chevaux reproducteurs de race pure";"0143";"014310";"AZ";"AZ";"A01Z";"0143";"014311";"AZ";"AZ";"A01Z";2009;2020
"0101 29 10";"Chevaux destinés à la boucherie";"0143";"014310";"AZ";"AZ";"A01Z";"0143";"014311";"AZ";"AZ";"A01Z";1993;2020
"0101 29 90";"Chevaux vivants (à l'exclusion des chevaux reproducteurs de race pure ainsi que des chevaux destinés à la boucherie)";"0143";"014310";"AZ";"AZ";"A01Z";"0143";"014311";"AZ";"AZ";"A01Z";1993;2020
"0101 30 00";"Ânes, vivants";"0143";"014310";"AZ";"AZ";"A01Z";"0143";"014312";"AZ";"AZ";"A01Z";2010;2020
"0101 90 00";"Mulets et bardots, vivants";"0143";"014310";"AZ";"AZ";"A01Z";"0143";"014312";"AZ";"AZ";"A01Z";2007;2020
"0102 21 10";"Génisses [bovins femelles qui n’ont jamais vêlé] reproductrices, de race pure";"0141";"014110";"AZ";"AZ";"A01Z";"0141";"014110";"AZ";"AZ";"A01Z";2002;2020
"0102 21 30";"Vaches reproductrices, de race pure (à l’excl. des génisses)";"0141";"014110";"AZ";"AZ";"A01Z";"0141";"014110";"AZ";"AZ";"A01Z";2002;2020
"0102 21 90";"Bovins domestiques reproducteurs, de race pure (à l’excl. des vaches et des génisses)";"0142";"014211";"AZ";"AZ";"A01Z";"0142";"014211";"AZ";"AZ";"A01Z";2002;2020
"0102 29 05";"Bovins domestiques vivants, du sous-genre Bibos ou Poephagus (à l'excl. des animaux reproducteurs de race pure)";"0142";"014211";"AZ";"AZ";"A01Z";"0142";"014211";"AZ";"AZ";"A01Z";1993;2020
"0102 29 10";"Bovins domestiques vivants, d’un poids <= 80 kg (à l’excl. des animaux reproducteurs de race pure)";"0142";"014212";"AZ";"AZ";"A01Z";"0142";"014212";"AZ";"AZ";"A01Z";1993;2020
"0102 29 21";"Bovins domestiques vivants, d’un poids > 80 kg mais <= 160 kg, destinés à la boucherie (à l’excl. des animaux reproducteurs de race pure)";"0142";"014212";"AZ";"AZ";"A01Z";"0142";"014212";"AZ";"AZ";"A01Z";1993;2020
"0102 29 29";"Bovins domestiques vivants, d’un poids > 80 kg mais <= 160 kg (à l’excl. des animaux reproducteurs de race pure et des animaux destinés à la boucherie)";"0142";"014212";"AZ";"AZ";"A01Z";"0142";"014212";"AZ";"AZ";"A01Z";1993;2020
"0102 29 41";"Bovins domestiques vivants, d’un poids > 160 kg mais <= 300 kg, destinés à la boucherie (à l’excl. des animaux reproducteurs de race pure)";"0142";"014212";"AZ";"AZ";"A01Z";"0142";"014212";"AZ";"AZ";"A01Z";1993;2020
"0102 29 49";"Bovins domestiques vivants, d’un poids > 160 kg mais <= 300 kg (à l’excl. des animaux reproducteurs de race pure et des animaux destinés à la boucherie)";"0142";"014212";"AZ";"AZ";"A01Z";"0142";"014212";"AZ";"AZ";"A01Z";1993;2020
"0102 29 51";"Génisses [bovins femelles qui n’ont jamais vêlé] vivantes, d’un poids > 300 kg, destinées à la boucherie";"0141";"014110";"AZ";"AZ";"A01Z";"0141";"014110";"AZ";"AZ";"A01Z";2002;2020
"0102 29 59";"Génisses [bovins femelles qui n’ont jamais vêlé] vivantes, d’un poids > 300 kg (à l’excl. des animaux reproducteurs de race pure et des animaux destinés à la boucherie)";"0141";"014110";"AZ";"AZ";"A01Z";"0141";"014110";"AZ";"AZ";"A01Z";2002;2020
"0102 29 61";"Vaches vivantes, d’un poids > 300 kg, destinées à la boucherie (à l’excl. des génisses)";"0141";"014110";"AZ";"AZ";"A01Z";"0141";"014110";"AZ";"AZ";"A01Z";2002;2020
"0102 29 69";"Vaches vivantes, d’un poids > 300 kg (à l’excl. des animaux reproducteurs de race pure, des génisses et des animaux destinés à la boucherie)";"0141";"014110";"AZ";"AZ";"A01Z";"0141";"014110";"AZ";"AZ";"A01Z";2002;2020
"0102 29 91";"Bovins domestiques vivants, d’un poids > 300 kg, destinés à la boucherie (à l’excl. des génisses, des vaches, des animaux reproducteurs de race pure, des animaux destinés à la boucherie)";"0142";"014211";"AZ";"AZ";"A01Z";"0142";"014211";"AZ";"AZ";"A01Z";2004;2020
"0102 29 99";"Bovins domestiques vivants, d’un poids > 300 kg (à l’excl. des génisses, des vaches, des animaux reproducteurs de race pure, des animaux destinés à la boucherie)";"0142";"014211";"AZ";"AZ";"A01Z";"0142";"014211";"AZ";"AZ";"A01Z";2010;2020
"0102 31 00";"Buffles reproducteurs de race pure";"0142";"014211";"AZ";"AZ";"A01Z";"0142";"014211";"AZ";"AZ";"A01Z";1993;2020
"0102 39 10";"Buffles domestiques, vivants (à l'excl. des animaux reproducteurs de race pure)";"0142";"014211";"AZ";"AZ";"A01Z";"0142";"014211";"AZ";"AZ";"A01Z";1993;2020
"0102 39 90";"Buffles vivants (à l'exclusion des espèces domestiques et des animaux reproducteurs de race pure)";"0142";"014211";"AZ";"AZ";"A01Z";"0142";"014211";"AZ";"AZ";"A01Z";2002;2020
