"Etablissement";"Siren";"Site";"Site non-trouve";"Categories";"Categorie-2";"Categorie-3";"Categorie-4";"Categorie-5";"Categorie-6";"Categorie-7";"Categorie-8";"Entreprise-de-servicesde-logistique";"Aucune-categorie"
"LORIAL";324972843;;1;;;;;;;;;;
"LORIAL";324972843;;1;;;;;;;;;;
"CENTRE DE DEPOLLUTION INDUS LORRAIN";312456114;;1;;;;;;;;;;
"COOPERATIVE AGRICOLE LORRAINE";775614837;"https://www.cal-lorraine.fr/";;;;;;;;;;1;
"CLAIR DE LORRAINE";344702071;"https://www.lesfousdeterroirs.fr/blog/article/clair-de-lorraine";;2208;;;;;;;;;
"LA FOURNEE DOREE LORRAINE - LFDL";322249897;;1;;;;;;;;;;
"FONDERIE LORRAINE";403396740;;1;;;;;;;;;;
"EUROVIA ALSACE LORRAINE";325857357;"https://www.eurovia.fr/";;;;;;;;;;1;
"COOPERATIVE AGRICOLE LORRAINE";775614837;"https://www.cal-lorraine.fr/";;1008;1104;;;;;;;;
"CLAIR DE LORRAINE";344702071;"https://www.lesfousdeterroirs.fr/blog/article/clair-de-lorraine";;2208;;;;;;;;;
"EUROVIA ALSACE LORRAINE";325857357;"https://www.eurovia.fr/agences/5593-eurovia-alsace-lorraine-molsheim";;;;;;;;;;1;
"CEGELEC LORRAINE ALSACE";537908659;"https://www.cegelec-lorraine.com/";;;;;;;;;;1;
"GTIE LORRAINE";414837435;;1;;;;;;;;;;
"ALTRANS LORRAINE";528902729;"https://www.altrans.fr/";;;;;;;;;;1;
"EIFFAGE CONSTRUCTION LORRAINE";311962443;;1;;;;;;;;;;
"LOSBERGER";449062330;"https://www.losbergerdeboer.com/fr/";;5303;;;;;;;;;
"LUTESS";493502132;;1;;;;;;;;;;
"LUX ELEMENTS";381562255;"http://www.luxelements.com/lux_fr/index.htm";;3917;;;;;;;;;
"LUZEAL";508947967;"https://www.luzeal.fr/";;2308;;;;;;;;;
"ARDENNES MACHINING INDUSTRIES";501183636;;1;;;;;;;;;;
"MADIC";871800074;"https://groupe.madic.com";;;;;;;;;;1;
"MAETVA";343341798;"https://www.maetva.com";;;;;;;;;;1;
"MAGNA ENGINEERED GLASS EUROPE";398193169;"https://www.magna.com";;8708;;;;;;;;;
"MAHLE BEHR FRANCE HAMBACH";392172375;;1;;;;;;;;;;
"CMI MAINTENANCE EST";332962331;;1;;;;;;;;;;
"CMI MAINTENANCE EST";332962331;;1;;;;;;;;;;
"MAISON BURTIN";95850624;"https://www.lansoninternational.com/";;2204;;;;;;;;;
"ENTREPRISE MALEZIEUX";321336141;"http://www.malezieux.com/";;;;;;;;;;1;
"MALTERIES FRANCO BELGES";552121816;"https://www.soufflet.com/fr";;1107;;;;;;;;;
"MANGIN EGLY ENTREPRISES";402671440;;1;;;;;;;;;;
"MANOIR BOUZONVILLE";754015923;"https://www.manoir-industries.com/fr/accueil/";;7214;;;;;;;;;
"CHAMPAGNE MANUEL JANISSON";380138867;;1;;;;;;;;;;
"MANUFACTORY EVER GRES - M E G";477540157;;1;;;;;;;;;;
"MARCILLAT CORCIEUX";414992560;"https://www.lactalis.fr/";;406;;;;;;;;;
"ETABLISSEMENTS MARIE";733850028;;1;;;;;;;;;;
"GRAVOTECH MARKING";334818515;"https://www.gravotech.fr/";;;;;;;;;;1;
"LA MARNAISE";736120270;"http://lamarnaise-moretti.fr/";;6810;;;;;;;;;
"MAROQUINERIE DES ARDENNES";428113518;"https://www.hermes.com/us/en/";;4202;;;;;;;;;
"MAROQUINERIE MARJO";382819597;;1;;;;;;;;;;
"CHAMPAGNE GH MARTEL ET CIE";399060821;"http://www.champagnemartel.com";;2204;;;;;;;;;
"ETABLISSEMENTS MASCI";400998779;"https://masci.fr";;7309;;;;;;;;;
"ARPEGE MASTER K";971506480;"https://www.masterk.com/";;8423;;;;;;;;;
"MASTIO FERMETURE ET CONFORT DE L'EST";385349618;;1;;;;;;;;;;
"MASTIO FERMETURE ET CONFORT DE L'EST";385349618;;1;;;;;;;;;;
"MASTIO FERMETURE ET CONFORT DE L'EST";385349618;;1;;;;;;;;;;
"MATHIEU";332185818;"https://mathieu.fayat.com/fr";;8705;;;;;;;;;
"MATHIS";915521017;;1;;;;;;;;;;
"MAUFFREY CENTRE";449513456;"https://mauffrey.com";;;;;;;;;;1;
"MAUFFREY HAUTS-DE-FRANCE";338187644;"https://mauffrey.com/";;;;;;;;;;1;
"MAUFFREY LITTORAL";498921808;"https://mauffrey.com/";;;;;;;;;;1;
"ETABLISSEMENTS MAURICE MARLE";847220043;"http://marle.forges-ca.com";;7214;;;;;;;;;
"MC CAIN ALIMENTAIRE";320442726;"https://www.mccain.fr";;701;;;;;;;;;
"MEA INDUSTRIES";351960323;"https://www.mea-group.com/fr/fr/";;8442;8414;;;;;;;;
"MARCEL FRANCE MECANO GALVA";687280156;"https://www.mfmg.fr/marcel-france-mecano-galva/";;;;;;;;;;1;
"MARCEL FRANCE MECANO GALVA";687280156;"https://www.mfmg.fr/marcel-france-mecano-galva/";;3810;;;;;;;;;
"CLESTRA - ENSEIGNES HAUSERMAN MECANOBLOC";389390949;"https://en.clestra.com/";;;;;;;;;;1;
"MECATHERM";676480049;"https://www.mecatherm.fr/";;1905;;;;;;;;;
"MEDIA INDUSTRY";803087923;"https://www.media-industry.fr/";;8519;8521;8523;;;;;;;
"B.BRAUN MEDICAL";562050856;"https://www.bbraun.fr/fr.html";;9018;;;;;;;;;
"LDR MEDICAL";433924529;"https://fr.ldr.com";;9018;;;;;;;;;
"LOMBARD ET MEDOT";95750303;"https://www.champagne-lombard.com";;2204;;;;;;;;;
"LOMBARD ET MEDOT";95750303;"https://www.champagne-lombard.com";;2204;;;;;;;;;
"MENUISERIE INDUSTRIELLE DE DORMANS";788072080;"https://voiranime.com";;3925;;;;;;;;;
"MENUISERIE BIEBER";676680366;"https://www.menuiseries-bieber.com/";;4418;;;;;;;;;
"MEPHISTO";364800276;"https://www.mephisto.com/fr/";;6402;6403;;;;;;;;
"MERRAIN INTERNATIONAL";381510254;;1;;;;;;;;;;
"MESSER FRANCE";300560588;"https://www.messer.fr/";;2804;;;;;;;;;
"MESURA";655981306;"https://www.mesura.fr/";;8481;;;;;;;;;
"EIFFAGE METAL";333916385;"https://www.eiffagemetal.com";;8302;;;;;;;;;
"EIFFAGE METAL";333916385;"https://www.eiffagemetal.com";;8302;;;;;;;;;
"MARNE METAL CONCEPT";842497810;"https://www.marnemetalconcept.fr";;8207;;;;;;;;;
"METALLERIE GUSIEE";340862341;;1;;;;;;;;;;
"CONSTRUCTIONS METALLIQUES AUER";304349673;"https://www.auer-cm.com";;8302;;;;;;;;;
"CONSTRUCTIONS METALLIQUES DE DOUZY";685780520;"https://www.cmdcardot.fr/";;8301;;;;;;;;;
"BRASSERIE METEOR";598500643;"https://www.brasserie-meteor.fr/";;2203;;;;;;;;;
"ARTHUR METZ";675480081;"https://fr.arthurmetz.com/";;2204;;;;;;;;;
"GMS MEUNERIE";428176572;;1;;;;;;;;;;
"LA MEUSIENNE";485720015;"https://www.lameusienne.fr";;7303;;;;;;;;;
"MILLIPORE";434691192;"https://www.merckmillipore.com/";;8421;;;;;;;;;
"AGC MIREST";757803168;;1;;;;;;;;;;
"MK ENERGIES";794576231;"https://www.mk-energies.fr/fr/home/";;;;;;;;;;1;
"MMBC";648501096;"https://www.metzger-muller.com/contact/";;210;;;;;;;;;
"APPLIC METH MODERN ECLAIR ELEC";572201846;;1;;;;;;;;;;
"MONDI LEMBACEL";590500443;"https://www.mondigroup.com/en/home/";;4819;;;;;;;;;
"MONIER";662043272;"https://www.bmigroup.com/fr/bmi-monier/?utm_source=Batiweb";;6902;;;;;;;;;
"MONIER";662043272;"https://www.bmigroup.com/fr/bmi-monier/?utm_source=Batiweb";;6902;;;;;;;;;
"FONDERIES DE BROUSSEVAL ET MONTREUIL";515780393;"https://www.f3tec.com/fr/";;8454;;;;;;;;;
"GARRETT MOTION FRANCE";315161141;;1;;;;;;;;;;
"MOULIN MECKERT-DIEMER";788157709;;1;;;;;;;;;;
"MR EQUIPEMENT";348971599;"https://www.mhr-defense.com/";;9306;;;;;;;;;
"G H MUMM ET CIE";562084129;"https://www.mumm.com/fr-fr/";;2204;;;;;;;;;
"CMI MUON";508839271;"https://www.nuclearvalley.com/annuaire/cmi-muon/";;;;;;;;;;1;
"N.SCHLUMBERGER";479861619;"http://www.nsc-schlumberger.fr/";;8445;;;;;;;;;
"NACTIS FLAVOURS";421044009;"https://www.nactis.fr";;3301;;;;;;;;;
"C.F.R. ILE NAPOLEON";439721697;;1;;;;;;;;;;
"C.F.R. ILE NAPOLEON";439721697;;1;;;;;;;;;;
"LE NAPPAGE";414263269;"https://www.lenappage.com";;4818;;;;;;;;;
"NEALIA";503705295;"https://www.nealia.fr/";;2309;;;;;;;;;
"NEALIA";503705295;"https://www.nealia.fr";;2309;;;;;;;;;
"NESTLE FRANCE";542014428;"https://www.nestle.fr";;901;;;;;;;;;
"KNF NEUBERGER";946850260;"https://knf.com/fr/fr";;8414;;;;;;;;;
"CONSTELLIUM NEUF BRISACH";807641360;"https://www.constellium.com/neuf-brisach-france-aluminium-manufacturing-plant-constellium";;2606;;;;;;;;;
"FROMAGERIE DE NEUFCHATEAU";310941125;;1;;;;;;;;;;
"BOULANGERIE NEUHAUSER";638502963;"https://www.neuhauser.fr";;1905;;;;;;;;;
"NEW BATH";484050778;"http://www.allibert.fr/";;3925;;;;;;;;;
"NEWTL";501369508;"http://www.newtl.com";;8601;;;;;;;;;
"NEXANS INTERFACE";562074542;"https://www.nexans.fr/fr/";;8542;;;;;;;;;
"NEXANS FRANCE";428593230;"https://www.nexans.fr/fr/";;8544;;;;;;;;;
"NICOLETTA ET CIE";786080226;"https://www.nicoletta.fr/";;;;;;;;;;1;
"FONDERIE DE NIEDERBRONN";499026169;"https://www.fonderie-de-niederbronn.com";;8454;;;;;;;;;
"NIESS AGRICULTURE";738500842;"https://www.agriaffaires.com/pros/list/4379-0/1/niess-agriculture.html";;8201;;;;;;;;;
"NIESS AGRICULTURE";738500842;"https://www.agriaffaires.com/pros/list/4379-0/1/niess-agriculture.html";;8201;;;;;;;;;
"NODIMAT";351027370;"https://www.ouvrard.com/nodimat-fr-fr.htm";;8201;;;;;;;;;
"NODIMAT";351027370;"https://www.ouvrard.com/nodimat-fr-fr.htm";;8201;;;;;;;;;
"INNOTHERA NOMEXY";428295455;"https://www.innothera.fr/fr/qui-sommes-nous/nos-sites-en-france";;9115;;;;;;;;;
"NORCAN";479685513;"https://www.mynorcan.com";;;;;;;;;;;1
"EDIFI NORD";493341192;;1;;;;;;;;;;
"COLAS NORD-EST";329198337;"https://www.colas.com/fr";;;;;;;;;;1;
"NORDEX FRANCE";439008004;"https://www.nordex-online.com/fr/france/";;;;;;;;;;1;
"FIVES NORDON";433948031;;1;;;;;;;;;;
"NOREMAT";322213679;"https://www.noremat.fr/";;8432;8433;8701;;;;;;;
"EDITIONS DES DERNIERES NOUVELLES D'ALSACE";391890555;"https://www.dna.fr/defense-guerre-conflit/2022/04/03/guerre-en-ukraine-des-explosions-entendues-a-odessa";;4902;;;;;;;;;
"NOVACARB";442993283;;1;;;;;;;;;;
"NOVARES FRANCE";442694436;"https://www.novaresteam.com/fr/";;8708;;;;;;;;;
"NPL";780262259;"https://www.npl.fr/";;;;;;;;;;1;
"NUMALLIANCE";401224811;"https://www.numalliance.com/";;8462;8463;;;;;;;;
"NUMALLIANCE";401224811;"https://www.numalliance.com";;8457;;;;;;;;;
"O.L.F.";400469888;"https://www.olf.ch";;;;;;;;;;1;
"OBER";382745404;;1;;;;;;;;;;
"CMO OBERNAI";405253188;"https://www.cmo-obernai.fr/";;;;;;;;;;1;
"OCTAPHARMA";382814150;"https://www.octapharma.fr";;3006;;;;;;;;;
"OELTECHNIK FRANCE";309480051;"https://www.oeltechnik.fr/fr/";;8404;8418;8419;;;;;;;
"INSTITUT OENOLOGIQUE DE CHAMPAGNE";501241723;"https://ioc.eu.com/fr/";;2204;;;;;;;;;
"EVONIK OIL ADDITIVES";408492304;;1;;;;;;;;;;
"ONDAL FRANCE";655880458;;1;;;;;;;;;;
"FORGES DE BELLES ONDES";411610918;"http://www.snfbo.com";;3819;;;;;;;;;
"ORANO COTUMER";450838974;"http://cotumer-orano.group";;;;;;;;;;1;
"OREST GROUP";402839591;"https://www.orest.fr";;7113;;;;;;;;;
"ORTH";311069017;;1;;;;;;;;;;
"OSTWIND INTERNATIONAL";428604318;"https://www.ostwind.fr";;;;;;;;;;1;
"ETABLISSEMENTS OTHON FEY";344022553;"http://www.othon-fey.fr";;8207;;;;;;;;;
"OTT IMPRIMEURS";493323042;"https://www.ott-imprimeurs.fr/";;;;;;;;;;1;
"E P E";381087576;"https://www.ermitage.com/";;406;;;;;;;;;
"ETABLISSEMENTS P. L. MAITRE";305751034;"https://plmaitre.fr/";;;;;;;;;;1;
"P.H.T. NEWCO";513236521;"http://www.pht-newco.com/index.php?page=6";;8435;;;;;;;;;
"PAC DAMAS";314937970;"https://www.deya-pro.com/";;4418;7308;8301;;;;;;;
"NSC PACKAGING";421591777;"https://www.nscpackaging.com/?lang=en";;8515;8422;8423;;;;;;;
"BRODART PACKAGING";509355145;"http://www.brodart-packaging.fr";;;;;;;;;;;1
"ARIES PACKAGING";387894835;"https://www.tecma-aries.com/fr/";;4819;3923;;;;;;;;
"BRODART PACKAGING";509355145;"http://www.brodart-packaging.fr/";;4819;4822;4821;;;;;;;
"BERRY PACKAGING HOLDINGS FRANCE";702050675;"https://www.bericap..com";;;;;;;;;;1;
"PAKEA";377818463;;1;;;;;;;;;;
"PAKEA";377818463;"https://www.pakea.eu/fr/";;8439;;;;;;;;;
"PAKERS MUSSY";722018041;"http://www.pakers.fr";;4415;;;;;;;;;
"PALC";728502444;"https://lepalc.fr";;;;;;;;;;;1
"PALC";728502444;"https://lepalc.fr";;;;;;;;;;;1
"NEWTEC BAG PALLETIZING";947252391;"https://www.newtecbag.com/fr/";;8427;;;;;;;;;
"EGGER PANNEAUX ET DECORS";380160846;"https://www.egger.com/shop/fr_FR";;4410;;;;;;;;;
"BLUE PAPER";752603100;"https://www.bluepaper.eu";;4802;;;;;;;;;
"PAPETERIES DE CLAIREFONTAINE";402965297;"https://www.clairefontaine.com/fr/";;4820;;;;;;;;;
"PARFUMERIE ET CHIMIE";336280409;;1;;;;;;;;;;
"PARISOT MATTAINCOURT";675750087;"https://www.parisot.com/";;9403;;;;;;;;;
"G. MANQUILLET PARIZEL & CIE";785620493;"https://manquillet-parizel.fr";;7214;;;;;;;;;
"PARKER HANNIFIN MANUFACTURING FRANCE";523394724;"https://www.parker.com";;3819;;;;;;;;;
"PASTURAL ET COMPAGNIE";95750337;;1;;;;;;;;;;
"ERHARD PATISSIER GLACIER";479088528;"https://www.erhard-desserts.com/";;1905;2105;;;;;;;;
"ADIJ PATRIMOINE";738503200;"http://www.adij.fr/";;;;;;;;;;1;
"ENTREPRISE PAUL CALIN";826050296;"https://www.paul-calin.fr";;;;;;;;;;1;
"ENTREPRISE PAUL CALIN";826050296;"https://www.paul-calin.fr/";;3824;6810;;;;;;;;
"ENTREPRISE PAUL CALIN";826050296;"https://www.paul-calin.fr/";;6810;3824;2517;;;;;;;
"PCB CREATION";480352285;"https://www.pcb-creation.com";;1806;;;;;;;;;
"PEDUZZI";305850646;"https://www.groupe-livio.fr/";;6810;;;;;;;;;
"BOURGUIGNON BARRE PERE ET FILS";785820101;"https://forge.forlam-groupe.fr/notre-societe/bourguignon-barre/";;7214;;;;;;;;;
"ETABLISSEMENTS GIRON PERE ET FILS";335881181;"https://www.gironrecyclage.com";;;;;;;;;;1;
"INNOSPEC PERFORMANCE CHEMICALS FRANCE";377599162;"https://innospec.com";;3401;;;;;;;;;
"FREUDENBERG PERFORMANCE MATERIALS";353782469;"https://www.freudenberg-pm.com/en";;5303;;;;;;;;;
"CHAMPAGNE PERRIER-JOUET";95750261;"https://www.perrier-jouet.com/";;2204;;;;;;;;;
"EURO-INFORMATION PERSONNALISATION CHEQUES CARTES ET COMPOSANTS";438318537;"https://www.europ3c.fr/fr/euro-P3C/";;;;;;;;;;1;
"PETIT-BATEAU";542880125;"https://www.petit-bateau.fr/";;6209;4303;6107;6108;6105;6106;6104;6103;;
"PETITJEAN";539985465;"https://www.petitjean.fr/";;9405;7011;8513;8539;;;;;;
"IPC PETROLEUM FRANCE";572199164;"https://www.pole-avenia.com/fr/adherent/ipc-petroleum-france";;2709;;;;;;;;;
"PETROSERVICES";349368670;"https://www.petroservices.fr/fr/";;;;;;;;;;1;
"MARS PF FRANCE";494887631;"https://fra.mars.com";;2309;;;;;;;;;
"COMPAGNIE CHAMPENOISE PH-CH.PIPER HEIDSIECK-ANCIENNE MAISON HEIDSIECK FONDEE EN 1785";335480687;"https://www.piper-heidsieck.com/fr-int";;2204;;;;;;;;;
"KAYSERSBERG PHARMACEUTICALS";813689213;"https://www.recipharm.com/";;3004;;;;;;;;;
"PHARMASTER +";350158713;"https://www.synerlab.com/sites-de-production-groupe-synerlab/pharmaster/";;3006;;;;;;;;;
"PIERRE LANNIER";351422258;"https://www.pierre-lannier.com/fr/";;9105;;;;;;;;;
"ETABLISSEMENTS PIERRE LAVAL";825950173;"https://www.lavalcollection.com/";;9403;;;;;;;;;
"H C L - : MAITRE PIERRE";332335165;"https://www.maitrepierre.com/";;1905;;;;;;;;;
"PIERRE BOURQUIN COMMUNICATIONS";335780433;"https://www.pierrebourquin.com/";;;;;;;;;;1;
"PISCINES MAGILINE";439450933;"https://www.piscines-magiline.fr";;;;;;;;;;1;
"PLAFOMETAL";423933779;"https://www.plafometal.fr/";;7308;8302;;;;;;;;
"FIMUREX PLANCHERS";393004734;"https://www.planchers-acor.com";;7317;;;;;;;;;
"PLASTIC OMNIUM AUTO INERGY FRANCE";519512453;"https://www.plasticomnium.com/fr/";;;;;;;;;;;1
"NOBEL PLASTIQUES";453570806;"https://www.autoplasticgate.fr/nosadherents/nobel-automotive/";;8708;;;;;;;;;
"GRAF PLASTURGIE";493246011;"https://www.graf.fr/";;3925;;;;;;;;;
"MANUF FRANC PNEUMATIQ MICHELIN";855200507;"https://www.michelin.fr/";;4011;;;;;;;;;
"MANUF FRANC PNEUMATIQ MICHELIN";855200507;"https://www.michelin.fr/";;4011;4012;;;;;;;;
"POK";998457808;"https://www.pok.fr/fr/accueil/";;2606;;;;;;;;;
"POK";998457808;"https://www.pok.fr/fr/accueil/";;8424;;;;;;;;;
"POLYEX";383299641;"https://www.polyex.net/index.php?lang=fr";;3923;3920;;;;;;;;
"POLYPEPTIDE LABORATORIES FRANCE";414477695;"https://www.polypeptide.com/";;3902;3903;;;;;;;;
"POMMIER NEUFMANIL";785920810;"http://pommier-neufmanil.forges-ca.com/#block-views-articles-domaine-carousel";;;;;;;;;;1;
"POMMIER NEUFMANIL";785920810;"https://www.pommier.eu/";;8302;;;;;;;;;
"POMPES GRUNDFOS";372800227;"https://www.grundfos.com/fr";;5414;;;;;;;;;
"PONTICELLI FRERES";562036624;"https://www.ponticelli.com";;;;;;;;;;1;
"PLASTIQUES POPPELMANN FRANCE";388975690;"https://www.poeppelmann.com/fr/entreprise/accueil/";;3923;;;;;;;;;
"POREAUX & CIE";305231532;"https://www.lapeyre.fr/";;4418;;;;;;;;;
"L'ALSACIENNE DE PORTAGE DNA";381353465;;1;;;;;;;;;;
"HILZINGER PORTES ET FENETRES";349758912;"http://www.hilzinger.fr/";;3925;7308;;;;;;;;
"BRETZELS MORICETTES MFP POULAILLON";377744651;"https://www.poulaillon.fr/";;1905;2201;2202;;;;;;;
"EUROFINS ANALYSES POUR L'ENVIRONNEMENT FRANCE";422998971;"https://www.eurofins.fr/contacts/eurofins-analyses-pour-lenvironnement-france/";;;;;;;;;;1;
"NEXANS POWER ACCESSORIES FRANCE";444384366;"https://www.nexans.fr/fr/";;8544;;;;;;;;;
"GE ENERGY POWER CONVERSION FRANCE";481213692;"https://www.gepowerconversion.com/";;8408;8407;8410;8412;;;;;;
"PRECICULTURE";97150353;"https://www.exel-industries.com/";;8432;;;;;;;;;
"BURGMAIER PRECISDEC";404857211;"https://burgmaier.com/fr/";;;;;;;;;;1;
"CHAMPAGN ARDENNE PREFAB MAT INDUS BETON";392316881;"https://www.capremib.com/";;7308;3816;;;;;;;;
"PRESENTS";350246039;"https://www.presents.fr/";;;;;;;;;;1;
"PRESTO FUITES";302001102;;1;;;;;;;;;;
"PRISMA";410140396;"https://www.prisma.io";;7304;;;;;;;;;
"NOVASEP PROCESS";401791959;"https://www.novasep.com/";;;;;;;;;;1;
"PRODAIR CIE";351186036;"https://www.airproducts.com/";;2804;;;;;;;;;
"ECOLAB PRODUCTION FRANCE";503310153;"https://fr-fr.ecolab.com";;3401;;;;;;;;;
"AZUR PRODUCTION";647020478;;1;;;;;;;;;;
"ARTI PRODUCTION";491640611;"https://arti-production.fr";;;;;;;;;;1;
"CLARIANT PRODUCTION (FRANCE)";302305529;"https://www.clariant.com/en/Company/Contacts-and-Locations/Key-Sites/France";;3208;;;;;;;;;
"KIRN PRODUCTION";451791586;"https://kirn.fr/";;1602;1601;202;203;210;;;;;
"LABORATOIRES JUVA PRODUCTIONS";390809440;"https://www.juva.com";;2104;;;;;;;;;
"AIR PRODUCTS";548501907;"https://www.airproducts.fr";;2711;;;;;;;;;
"DSM NUTRITIONAL PRODUCTS FRANCE";946750650;"https://www.dsm.com/";;406;1704;;;;;;;;
"AKKA INGENIERIE PRODUIT";308884998;"https://www.akka-technologies.com/?lang=fr";;;;;;;;;;1;
"PRODUITS PLASTIQUES PERFORMANTS 3P";410314322;"https://www.3pcorporate.com/fr/";;3917;;;;;;;;;
"PROFIL DU FUTUR";342435062;"https://fr.profil-dufutur.com/";;;;;;;;;;1;
"PROFIL ALSACE";492976535;"https://www.profilalsace.com/fr/";;;;;;;;;;;1
"LORRAINE PROFILES";383011582;"https://www.lorraine-profiles.com";;3917;;;;;;;;;
"PROFILES HB";403458490;"https://www.profilage.net/profiles-hb-profiles.html";;3925;;;;;;;;;
"PROFINE FRANCE";348964446;"https://www.profine-group.com/fr/fr/";;3925;3919;;;;;;;;
"ALSACIENNE DE PROPRETE";303215511;"https://www.recyclage.veolia.fr/";;;;;;;;;;1;
"ALSACIENNE DE PROPRETE";303215511;"https://www.recyclage.veolia.fr/";;;;;;;;;;1;
"ALSACIENNE DE PROPRETE";303215511;"https://www.recyclage.veolia.fr/";;;;;;;;;;1;
"PROTECHNIC";945450559;"https://www.protechnic.fr/fr/";;3919;;;;;;;;;
"PERIMETER PROTECTION FRANCE";517280160;"https://www.perimeterprotection.net/fr/";;7315;;;;;;;;;
"CHARCU-PAC LES PROVINCES";400958328;"https://www.charcupac.com/";;1601;1602;;;;;;;;
"PSF";648501013;;1;;;;;;;;;;
"PTP INDUSTRY";542110556;"https://www.ptp-industry.com/fr/index.php";;8483;;;;;;;;;
"PATISFRANCE - PURATOS";552004236;"https://www.puratos.fr/fr";;1905;;;;;;;;;
"BIEBER PVC";331499293;"https://www.bieber-pvc.com";;3925;;;;;;;;;
"MENUISERIE PVC GERLING";321580805;"https://www.menuiseries-gerling.fr/";;7610;3925;;;;;;;;
"MENUISERIES PVC FERMETURES MERCIER DAVID";341678803;"https://www.mercier-david.fr";;3925;;;;;;;;;
"PYROGUARD FRANCE";789414315;"https://www.pyroguard.eu/fr/";;;;;;;;;;;1
"QUALICONSULT EXPLOITATION";442848925;"https://www.groupe-qualiconsult.fr/";;;;;;;;;;1;
"QUALICONSULT";401449855;"https://www.groupe-qualiconsult.fr/";;;;;;;;;;1;
"QUALICONSULT EXPLOITATION";442848925;"https://www.groupe-qualiconsult.fr/";;;;;;;;;;1;
"QUALICONSULT";401449855;"https://www.groupe-qualiconsult.fr/";;;;;;;;;;1;
"QUONEX GRAND EST";558501466;"https://www.quonex.fr";;;;;;;;;;1;
"QUONEX GRAND EST";558501466;"https://www.quonex.fr/";;;;;;;;;;1;
"QUONEX GRAND EST";558501466;"https://www.quonex.fr";;;;;;;;;;1;
"R.M.SYSTEM FRANCE";432393320;"https://www.rmsystem.fr/";;8607;8601;;;;;;;;
"R.PONS";542086178;"https://www.rpons.fr/fr/";;8481;;;;;;;;;
"R.V.A";351690243;"https://www.rva.be/nl";;;;;;;;;;1;
"AGENCE NAT GESTION DECHETS RADIOACTIFS";390199669;"https://www.andra.fr";;;;;;;;;;1;
"LIBERTY RAIL HAYANGE";391575354;"https://www.republicain-lorrain.fr/economie/2021/07/02/liberty-rails-hayange-les-syndicats-restent-prudents-malgre-l-accord-avec-saarsthal";;3810;;;;;;;;;
"BRUYNZEEL RANGEMENTS";438240590;"https://bruynzeel.fr/";;8418;9403;;;;;;;;
"PAPETERIE RAON";807626742;;1;;;;;;;;;;
"BOSAL LE RAPIDE";335782249;;1;;;;;;;;;;
"CONCEPTION - REALISATION - DEVELOPPEMENT";393689815;"http://groupecrd.fr/";;;;;;;;;;1;
"ETUDES ET REALISATIONS INDUSTRIELLES D'ENSEMBLES MECANISES";317401016;"http://www.industeam.net/index.php/fr/";;;;;;;;;;1;
"REALMECA";846280055;"https://www.realmeca.com";;9018;;;;;;;;;
"ALSACIENNE RECH PROD APP DOMESTIQUES";477982789;;1;;;;;;;;;;
"AGRO INDUSTRIE RECHERCHES DEVELOPPEMENT";350504817;"https://www.a-r-d.fr";;;;;;;;;;1;
"CENTRE D'ANALYSES ET DE RECHERCHES - CAR";445235963;"http://www.car-analyse.com/";;;;;;;;;;1;
"RECOS MACHINES";337980080;"https://www.recos-machines.fr/occasion_trumpf";;8457;;;;;;;;;
"RECTOR LESAGE";307322214;"https://www.rector.fr";;6810;;;;;;;;;
"NORD REDUCTEURS";415215250;"https://www.nord.com/fr/accueil.jsp";;8483;;;;;;;;;
"REFINAL INDUSTRIES";413816851;"https://www.derichebourg.com/fr/detail/56b0db4e6354ec06038b5384/refinal-industries---derichebourg-environnement";;2006;;;;;;;;;
"POUSSEUR REFRACTORIES";786720060;"https://www.pousseur.fr/fr";;;;;;;;;;;1
"AXIMA REFRIGERATION FRANCE";440267177;"https://www.equans.fr/";;;;;;;;;;1;
"AXIMA REFRIGERATION FRANCE";440267177;"https://www.equans.fr/";;;;;;;;;;1;
"AXIMA REFRIGERATION FRANCE";440267177;"https://www.equans.fr/nos-metiers/axima-refrigeration-france/refrigeration";;;;;;;;;;1;
"AXIMA REFRIGERATION FRANCE";440267177;"https://www.equans.fr/";;;;;;;;;;1;
"RAON CIRCULAR REGENERATION";840649693;"https://raoncr.fr";;4802;;;;;;;;;
"JUMO REGULATION";755800711;"https://www.jumo.fr";;;;;;;;;;;1
"GALVANOPLAST REIMS";498087618;"https://www.galvanoplast.com/";;7419;;;;;;;;;
"DELPHARM REIMS";503653818;"https://www.delpharm.com/fr/nos-sites/sites-de-production/presence-en-europe-france-belgique-italie-et-pays-bas/article/site-de-reims";;3006;;;;;;;;;
"FORBO REIMS";348909458;"https://www.forbo.com/flooring/fr-fr/";;3918;3925;3919;;;;;;;
"F2J REMAN CHAUMONT";432023828;;1;;;;;;;;;;
"FROMAGERIE RENARD-GILLARD";486520125;"https://www.fromagerie-renard-gillard.fr";;406;;;;;;;;;
"LE REPUBLICAIN LORRAIN";317169134;"https://www.republicain-lorrain.fr";;4902;;;;;;;;;
"COTTEL RESEAUX";492888482;"http://www.cottel-reseaux.fr";;;;;;;;;;1;
"LES ATELIERS REUNIS - CADDIE";804532646;"https://www.caddie.fr";;8427;;;;;;;;;
"BUREAUX D'ETUDES REUNIS DE L'EST";598502243;"https://www.berest.fr";;;;;;;;;;1;
"LCR LES CONSTRUCTEURS REUNIS";415077668;"https://www.lcr.fr";;;;;;;;;;1;
