"ligne";"Code";" Intitulés de la  NAF rév. 2, version finale ";"Intitulés NAF rév. 2, 
en 65 caractères";"Intitulés NAF rév. 2, 
en 40 caractères"
1;;;;
2;"SECTION A";"AGRICULTURE, SYLVICULTURE ET PÊCHE";"AGRICULTURE, SYLVICULTURE ET PÊCHE";"AGRICULTURE, SYLVICULTURE ET PÊCHE"
3;;;;
4;"01";"Culture et production animale, chasse et services annexes";"Culture et production animale, chasse et services annexes";"Cult. & prod. animale, chasse & sce ann."
5;;;;
6;"01.1";"Cultures non permanentes";"Cultures non permanentes";"Cultures non permanentes"
7;"01.11";"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses";"Culture de céréales (sf riz) légumineuses, graines oléagineuses";"Cult céréale, légumineuse, graine oléag."
8;"01.11Z";"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses";"Culture de céréales (sf riz) légumineuses, graines oléagineuses";"Cult céréale, légumineuse, graine oléag."
9;"01.12";"Culture du riz";"Culture du riz";"Culture du riz"
10;"01.12Z";"Culture du riz";"Culture du riz";"Culture du riz"
11;"01.13";"Culture de légumes, de melons, de racines et de tubercules";"Culture de légumes, de melons, de racines et de tubercules";"Cult. légume, melon, racine & tubercule"
12;"01.13Z";"Culture de légumes, de melons, de racines et de tubercules";"Culture de légumes, de melons, de racines et de tubercules";"Cult. légume, melon, racine & tubercule"
13;"01.14";"Culture de la canne à sucre";"Culture de la canne à sucre";"Culture de la canne à sucre"
14;"01.14Z";"Culture de la canne à sucre";"Culture de la canne à sucre";"Culture de la canne à sucre"
15;"01.15";"Culture du tabac";"Culture du tabac";"Culture du tabac"
16;"01.15Z";"Culture du tabac";"Culture du tabac";"Culture du tabac"
17;"01.16";"Culture de plantes à fibres";"Culture de plantes à fibres";"Culture de plantes à fibres"
18;"01.16Z";"Culture de plantes à fibres";"Culture de plantes à fibres";"Culture de plantes à fibres"
19;"01.19";"Autres cultures non permanentes";"Autres cultures non permanentes";"Autres cultures non permanentes"
20;"01.19Z";"Autres cultures non permanentes";"Autres cultures non permanentes";"Autres cultures non permanentes"
21;;;;
22;"01.2";"Cultures permanentes";"Cultures permanentes";"Cultures permanentes"
23;"01.21";"Culture de la vigne";"Culture de la vigne";"Culture de la vigne"
24;"01.21Z";"Culture de la vigne";"Culture de la vigne";"Culture de la vigne"
25;"01.22";"Culture de fruits tropicaux et subtropicaux";"Culture de fruits tropicaux et subtropicaux";"Culture fruits tropicaux et subtropicaux"
26;"01.22Z";"Culture de fruits tropicaux et subtropicaux";"Culture de fruits tropicaux et subtropicaux";"Culture fruits tropicaux et subtropicaux"
27;"01.23";"Culture d'agrumes";"Culture d'agrumes";"Culture d'agrumes"
28;"01.23Z";"Culture d'agrumes";"Culture d'agrumes";"Culture d'agrumes"
29;"01.24";"Culture de fruits à pépins et à noyau";"Culture de fruits à pépins et à noyau";"Culture de fruits à pépins et à noyau"
30;"01.24Z";"Culture de fruits à pépins et à noyau";"Culture de fruits à pépins et à noyau";"Culture de fruits à pépins et à noyau"
31;"01.25";"Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque";"Culture d'aut. fruits d'arbres ou d'arbustes et de fruits a coque";"Cult. d'aut. fruits & de fruits à coque"
32;"01.25Z";"Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque";"Culture d'aut. fruits d'arbres ou d'arbustes et de fruits a coque";"Cult. d'aut. fruits & de fruits à coque"
33;"01.26";"Culture de fruits oléagineux";"Culture de fruits oléagineux";"Culture de fruits oléagineux"
34;"01.26Z";"Culture de fruits oléagineux";"Culture de fruits oléagineux";"Culture de fruits oléagineux"
35;"01.27";"Culture de plantes à boissons";"Culture de plantes à boissons";"Culture de plantes à boissons"
36;"01.27Z";"Culture de plantes à boissons";"Culture de plantes à boissons";"Culture de plantes à boissons"
37;"01.28";"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques";"Culture plantes à épices aromatiques médicinales pharmaceutiques";"Cult. plante aromatiq. médicin. pharma."
38;"01.28Z";"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques";"Culture plantes à épices aromatiques médicinales pharmaceutiques";"Cult. plante aromatiq. médicin. pharma."
39;"01.29";"Autres cultures permanentes";"Autres cultures permanentes";"Autres cultures permanentes"
40;"01.29Z";"Autres cultures permanentes";"Autres cultures permanentes";"Autres cultures permanentes"
41;;;;
42;"01.3";"Reproduction de plantes";"Reproduction de plantes";"Reproduction de plantes"
43;"01.30";"Reproduction de plantes";"Reproduction de plantes";"Reproduction de plantes"
44;"01.30Z";"Reproduction de plantes";"Reproduction de plantes";"Reproduction de plantes"
45;;;;
46;"01.4";"Production animale";"Production animale";"Production animale"
47;"01.41";"Élevage de vaches laitières";"Élevage de vaches laitières";"Élevage de vaches laitières"
48;"01.41Z";"Élevage de vaches laitières";"Élevage de vaches laitières";"Élevage de vaches laitières"
49;"01.42";"Élevage d'autres bovins et de buffles";"Élevage d'autres bovins et de buffles";"Élevage d'autres bovins et de buffles"
50;"01.42Z";"Élevage d'autres bovins et de buffles";"Élevage d'autres bovins et de buffles";"Élevage d'autres bovins et de buffles"
51;"01.43";"Élevage de chevaux et d'autres équidés";"Élevage de chevaux et d'autres équidés";"Élevage de chevaux et d'autres équidés"
52;"01.43Z";"Élevage de chevaux et d'autres équidés";"Élevage de chevaux et d'autres équidés";"Élevage de chevaux et d'autres équidés"
53;"01.44";"Élevage de chameaux et d'autres camélidés";"Élevage de chameaux et d'autres camélidés";"Élevage de chameaux & d'autres camélidés"
54;"01.44Z";"Élevage de chameaux et d'autres camélidés";"Élevage de chameaux et d'autres camélidés";"Élevage de chameaux & d'autres camélidés"
55;"01.45";"Élevage d'ovins et de caprins";"Élevage d'ovins et de caprins";"Élevage d'ovins et de caprins"
56;"01.45Z";"Élevage d'ovins et de caprins";"Élevage d'ovins et de caprins";"Élevage d'ovins et de caprins"
57;"01.46";"Élevage de porcins";"Élevage de porcins";"Élevage de porcins"
58;"01.46Z";"Élevage de porcins";"Élevage de porcins";"Élevage de porcins"
59;"01.47";"Élevage de volailles";"Élevage de volailles";"Élevage de volailles"
60;"01.47Z";"Élevage de volailles";"Élevage de volailles";"Élevage de volailles"
61;"01.49";"Élevage d'autres animaux";"Élevage d'autres animaux";"Élevage d'autres animaux"
62;"01.49Z";"Élevage d'autres animaux";"Élevage d'autres animaux";"Élevage d'autres animaux"
63;;;;
64;"01.5";"Culture et élevage associés";"Culture et élevage associés";"Culture et élevage associés"
65;"01.50";"Culture et élevage associés";"Culture et élevage associés";"Culture et élevage associés"
66;"01.50Z";"Culture et élevage associés";"Culture et élevage associés";"Culture et élevage associés"
67;;;;
68;"01.6";"Activités de soutien à l'agriculture et traitement primaire des récoltes";"Activ. soutien à l'agriculture & trt primaire des récoltes";"Act. soutien agr. & trait. prim. récolt."
69;"01.61";"Activités de soutien aux cultures";"Activités de soutien aux cultures";"Activités de soutien aux cultures"
70;"01.61Z";"Activités de soutien aux cultures";"Activités de soutien aux cultures";"Activités de soutien aux cultures"
71;"01.62";"Activités de soutien à la production animale";"Activités de soutien à la production animale";"Activités de soutien à la prod. animale"
72;"01.62Z";"Activités de soutien à la production animale";"Activités de soutien à la production animale";"Activités de soutien à la prod. animale"
73;"01.63";"Traitement primaire des récoltes";"Traitement primaire des récoltes";"Traitement primaire des récoltes"
74;"01.63Z";"Traitement primaire des récoltes";"Traitement primaire des récoltes";"Traitement primaire des récoltes"
75;"01.64";"Traitement des semences";"Traitement des semences";"Traitement des semences"
76;"01.64Z";"Traitement des semences";"Traitement des semences";"Traitement des semences"
77;;;;
78;"01.7";"Chasse, piégeage et services annexes";"Chasse, piégeage et services annexes";"Chasse, piégeage et services annexes"
79;"01.70";"Chasse, piégeage et services annexes";"Chasse, piégeage et services annexes";"Chasse, piégeage et services annexes"
80;"01.70Z";"Chasse, piégeage et services annexes";"Chasse, piégeage et services annexes";"Chasse, piégeage et services annexes"
81;;;;
82;"02";"Sylviculture et exploitation forestière";"Sylviculture et exploitation forestière";"Sylviculture et exploitation forestière"
83;;;;
84;"02.1";"Sylviculture et autres activités forestières";"Sylviculture et autres activités forestières";"Sylviculture & autres act. forestières"
85;"02.10";"Sylviculture et autres activités forestières";"Sylviculture et autres activités forestières";"Sylviculture & autres act. forestières"
86;"02.10Z";"Sylviculture et autres activités forestières";"Sylviculture et autres activités forestières";"Sylviculture & autres act. forestières"
87;;;;
88;"02.2";"Exploitation forestière";"Exploitation forestière";"Exploitation forestière"
89;"02.20";"Exploitation forestière";"Exploitation forestière";"Exploitation forestière"
90;"02.20Z";"Exploitation forestière";"Exploitation forestière";"Exploitation forestière"
91;;;;
92;"02.3";"Récolte de produits forestiers non ligneux poussant à l'état sauvage";"Récolte produits forestiers non ligneux poussant à l'état sauvage";"Récolte prodts forestiers non ligneux"
93;"02.30";"Récolte de produits forestiers non ligneux poussant à l'état sauvage";"Récolte prod. forestiers non ligneux poussant à l'état sauvage";"Récolte prodts forestiers non ligneux"
94;"02.30Z";"Récolte de produits forestiers non ligneux poussant à l'état sauvage";"Récolte prod. forestiers non ligneux poussant à l'état sauvage";"Récolte prodts forestiers non ligneux"
95;;;;
96;"02.4";"Services de soutien à l'exploitation forestière";"Services de soutien à l'exploitation forestière";"Services de soutien à l'expl. forestière"
97;"02.40";"Services de soutien à l'exploitation forestière";"Services de soutien à l'exploitation forestière";"Services de soutien à l'expl. forestière"
98;"02.40Z";"Services de soutien à l'exploitation forestière";"Services de soutien à l'exploitation forestière";"Services de soutien à l'expl. forestière"
99;;;;
100;"03";"Pêche et aquaculture";"Pêche et aquaculture";"Pêche et aquaculture"
101;;;;
102;"03.1";"Pêche";"Pêche";"Pêche"
103;"03.11";"Pêche en mer";"Pêche en mer";"Pêche en mer"
104;"03.11Z";"Pêche en mer";"Pêche en mer";"Pêche en mer"
105;"03.12";"Pêche en eau douce";"Pêche en eau douce";"Pêche en eau douce"
106;"03.12Z";"Pêche en eau douce";"Pêche en eau douce";"Pêche en eau douce"
107;;;;
108;"03.2";"Aquaculture";"Aquaculture";"Aquaculture"
109;"03.21";"Aquaculture en mer";"Aquaculture en mer";"Aquaculture en mer"
110;"03.21Z";"Aquaculture en mer";"Aquaculture en mer";"Aquaculture en mer"
111;"03.22";"Aquaculture en eau douce";"Aquaculture en eau douce";"Aquaculture en eau douce"
112;"03.22Z";"Aquaculture en eau douce";"Aquaculture en eau douce";"Aquaculture en eau douce"
113;;;;
114;"SECTION B";"INDUSTRIES EXTRACTIVES";"INDUSTRIES EXTRACTIVES";"INDUSTRIES EXTRACTIVES"
115;;;;
116;"05";"Extraction de houille et de lignite";"Extraction de houille et de lignite";"Extraction de houille et de lignite"
117;;;;
118;"05.1";"Extraction de houille";"Extraction de houille";"Extraction de houille"
119;"05.10";"Extraction de houille";"Extraction de houille";"Extraction de houille"
120;"05.10Z";"Extraction de houille";"Extraction de houille";"Extraction de houille"
121;;;;
122;"05.2";"Extraction de lignite";"Extraction de lignite";"Extraction de lignite"
123;"05.20";"Extraction de lignite";"Extraction de lignite";"Extraction de lignite"
124;"05.20Z";"Extraction de lignite";"Extraction de lignite";"Extraction de lignite"
125;;;;
126;"06";"Extraction d'hydrocarbures";"Extraction d'hydrocarbures";"Extraction d'hydrocarbures"
127;;;;
128;"06.1";"Extraction de pétrole brut";"Extraction de pétrole brut";"Extraction de pétrole brut"
129;"06.10";"Extraction de pétrole brut";"Extraction de pétrole brut";"Extraction de pétrole brut"
130;"06.10Z";"Extraction de pétrole brut";"Extraction de pétrole brut";"Extraction de pétrole brut"
131;;;;
132;"06.2";"Extraction de gaz naturel";"Extraction de gaz naturel";"Extraction de gaz naturel"
133;"06.20";"Extraction de gaz naturel";"Extraction de gaz naturel";"Extraction de gaz naturel"
134;"06.20Z";"Extraction de gaz naturel";"Extraction de gaz naturel";"Extraction de gaz naturel"
135;;;;
136;"07";"Extraction de minerais métalliques";"Extraction de minerais métalliques";"Extraction de minerais métalliques"
137;;;;
138;"07.1";"Extraction de minerais de fer";"Extraction de minerais de fer";"Extraction de minerais de fer"
139;"07.10";"Extraction de minerais de fer";"Extraction de minerais de fer";"Extraction de minerais de fer"
140;"07.10Z";"Extraction de minerais de fer";"Extraction de minerais de fer";"Extraction de minerais de fer"
141;;;;
142;"07.2";"Extraction de minerais de métaux non ferreux";"Extraction de minerais de métaux non ferreux";"Extr. de minerais de métaux non ferreux"
143;"07.21";"Extraction de minerais d'uranium et de thorium";"Extraction de minerais d'uranium et de thorium";"Extr. de minerais d'uranium & de thorium"
144;"07.21Z";"Extraction de minerais d'uranium et de thorium";"Extraction de minerais d'uranium et de thorium";"Extr. de minerais d'uranium & de thorium"
145;"07.29";"Extraction d'autres minerais de métaux non ferreux";"Extraction d'autres minerais de métaux non ferreux";"Extr. aut. minerai de métaux non ferreux"
146;"07.29Z";"Extraction d'autres minerais de métaux non ferreux";"Extraction d'autres minerais de métaux non ferreux";"Extr. aut. minerai de métaux non ferreux"
147;;;;
148;"08";"Autres industries extractives";"Autres industries extractives";"Autres industries extractives"
149;;;;
150;"08.1";"Extraction de pierres, de sables et d'argiles";"Extraction de pierres, de sables et d'argiles";"Extr. de pierres, de sables et d'argiles"
151;"08.11";"Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise";"Extraction pierres ornement. construc. calcaire industriel, gypse";"Extr. pierre ornement. & construct. etc."
152;"08.11Z";"Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise";"Extraction pierres ornement. construc. calcaire industriel, gypse";"Extr. pierre ornement. & construct. etc."
153;"08.12";"Exploitation de gravières et sablières, extraction d’argiles et de kaolin";"Exploit gravieres & sablieres, extraction argiles & kaolin";"Exploit. gravière & sabl., extr. argile"
154;"08.12Z";"Exploitation de gravières et sablières, extraction d’argiles et de kaolin";"Exploit gravieres & sablieres, extraction argiles & kaolin";"Exploit. gravière & sabl., extr. argile"
155;;;;
156;"08.9";"Activités extractives n.c.a.";"Activités extractives n.c.a.";"Activités extractives n.c.a."
157;"08.91";"Extraction des minéraux chimiques et d'engrais minéraux ";"Extraction des minéraux chimiques et d'engrais minéraux";"Extr. minéraux chimiq. & engrais min."
158;"08.91Z";"Extraction des minéraux chimiques et d'engrais minéraux ";"Extraction des minéraux chimiques et d'engrais minéraux";"Extr. minéraux chimiq. & engrais min."
159;"08.92";"Extraction de tourbe";"Extraction de tourbe";"Extraction de tourbe"
160;"08.92Z";"Extraction de tourbe";"Extraction de tourbe";"Extraction de tourbe"
161;"08.93";"Production de sel ";"Production de sel";"Production de sel"
162;"08.93Z";"Production de sel ";"Production de sel";"Production de sel"
163;"08.99";"Autres activités extractives n.c.a.";"Autres activités extractives n.c.a.";"Autres activités extractives n.c.a."
164;"08.99Z";"Autres activités extractives n.c.a.";"Autres activités extractives n.c.a.";"Autres activités extractives n.c.a."
165;;;;
166;"09";"Services de soutien aux industries extractives";"Services de soutien aux industries extractives";"Sces de soutien aux indust. extractives"
167;;;;
168;"09.1";"Activités de soutien à l'extraction d'hydrocarbures";"Activités de soutien à l'extraction d'hydrocarbures";"Act. de soutien à l'extr. hydrocarbures"
169;"09.10";"Activités de soutien à l'extraction d'hydrocarbures";"Activités de soutien à l'extraction d'hydrocarbures";"Act. de soutien à l'extr. hydrocarbures"
170;"09.10Z";"Activités de soutien à l'extraction d'hydrocarbures";"Activités de soutien à l'extraction d'hydrocarbures";"Act. de soutien à l'extr. hydrocarbures"
171;;;;
172;"09.9";"Activités de soutien aux autres industries extractives";"Activités de soutien aux autres industries extractives";"Act. de soutien aut. indus. extractives"
173;"09.90";"Activités de soutien aux autres industries extractives ";"Activités de soutien aux autres industries extractives";"Act. de soutien aut. indus. extractives"
174;"09.90Z";"Activités de soutien aux autres industries extractives ";"Activités de soutien aux autres industries extractives";"Act. de soutien aut. indus. extractives"
175;;;;
176;"SECTION C";"INDUSTRIE MANUFACTURIÈRE";"INDUSTRIE MANUFACTURIÈRE";"INDUSTRIE MANUFACTURIÈRE"
177;;;;
178;"10";"Industries alimentaires";"Industries alimentaires";"Industries alimentaires"
179;;;;
180;"10.1";"Transformation et conservation de la viande et préparation de produits à base de viande";"Transform. & conserv. viande & préparation prod. à base de viande";"Transf. & conserv. viande & prép. viande"
181;"10.11";"Transformation et conservation de la viande de boucherie";"Transformation et conservation de la viande de boucherie";"Transf. & conserv.  viande de boucherie"
182;"10.11Z";"Transformation et conservation de la viande de boucherie";"Transformation et conservation de la viande de boucherie";"Transf. & conserv.  viande de boucherie"
183;"10.12";"Transformation et conservation de la viande de volaille";"Transformation et conservation de la viande de volaille";"Transf. & conserv. de viande de volaille"
184;"10.12Z";"Transformation et conservation de la viande de volaille";"Transformation et conservation de la viande de volaille";"Transf. & conserv. de viande de volaille"
185;"10.13";"Préparation de produits à base de viande";"Préparation de produits à base de viande";"Préparation de produits à base de viande"
186;"10.13A";"Préparation industrielle de produits à base de viande";"Préparation industrielle de produits à base de viande";"Prépa. indust. produits à base de viande"
187;"10.13B";"Charcuterie";"Charcuterie";"Charcuterie"
188;;;;
189;"10.2";"Transformation et conservation de poisson, de crustacés et de mollusques";"Transform. & conserv. poisson, crustacés & mollusques";"Transf. & conserv. poisson, crust., etc."
190;"10.20";"Transformation et conservation de poisson, de crustacés et de mollusques";"Transform. & conserv. poisson, crustacés & mollusques";"Transf. & conserv. poisson, crust., etc."
191;"10.20Z";"Transformation et conservation de poisson, de crustacés et de mollusques";"Transform. & conserv. poisson, crustacés & mollusques";"Transf. & conserv. poisson, crust., etc."
192;;;;
193;"10.3";"Transformation et conservation de fruits et légumes";"Transformation et conservation de fruits et légumes";"Transf. et conserv. de fruits et légumes"
194;"10.31";"Transformation et conservation de pommes de terre";"Transformation et conservation de pommes de terre";"Transf. et conserv. de pommes de terre"
195;"10.31Z";"Transformation et conservation de pommes de terre";"Transformation et conservation de pommes de terre";"Transf. et conserv. de pommes de terre"
196;"10.32";"Préparation de jus de fruits et légumes";"Préparation de jus de fruits et légumes";"Préparation de jus de fruits et légumes"
197;"10.32Z";"Préparation de jus de fruits et légumes";"Préparation de jus de fruits et légumes";"Préparation de jus de fruits et légumes"
198;"10.39";"Autre transformation et conservation de fruits et légumes";"Autre transformation et conservation de fruits et légumes";"Aut. transf. & cons. de fruit et légume"
199;"10.39A";"Autre transformation et conservation de légumes";"Autre transformation et conservation de légumes";"Autre transf. et conserv. de légumes"
200;"10.39B";"Transformation et conservation de fruits";"Transformation et conservation de fruits";"Transformation et conservation de fruits"
201;;;;
202;"10.4";"Fabrication d’huiles et graisses végétales et animales";"Fabrication d’huiles et graisses végétales et animales";"Fab. huile et graisse végétale & animale"
203;"10.41";"Fabrication d'huiles et graisses";"Fabrication d'huiles et graisses";"Fabrication d'huiles et graisses"
204;"10.41A";"Fabrication d'huiles et graisses brutes";"Fabrication d'huiles et graisses brutes";"Fabrication d'huiles et graisses brutes"
205;"10.41B";"Fabrication d'huiles et graisses raffinées";"Fabrication d'huiles et graisses raffinées";"Fab. d'huiles et graisses raffinées"
206;"10.42";"Fabrication de margarine et graisses comestibles similaires";"Fabrication de margarine et graisses comestibles similaires";"Fab. de margarine & graisses similaires"
207;"10.42Z";"Fabrication de margarine et graisses comestibles similaires";"Fabrication de margarine et graisses comestibles similaires";"Fab. de margarine & graisses similaires"
208;;;;
209;"10.5";"Fabrication de produits laitiers";"Fabrication de produits laitiers";"Fabrication de produits laitiers"
210;"10.51";"Exploitation de laiteries et fabrication de fromage";"Exploitation de laiteries et fabrication de fromage";"Expl. de laiteries et fabric. de fromage"
