"CODES NC
2020";LIBELLES AUTOSUFFISANTS NC 2020 (fichier DSECE);"CREATIONS (1)
MODIFICATIONS (2)"
SECTION I;ANIMAUX VIVANTS ET PRODUITS DU RÈGNE ANIMAL;
CHAPITRE 1;ANIMAUX VIVANTS;
0101;Chevaux, ânes, mulets et bardots, vivants;
0101 21 00;Chevaux reproducteurs de race pure;
0101 29;Chevaux vivants (à l'excl. des animaux reproducteurs de race pure);
0101 29 10;Chevaux destinés à la boucherie;
0101 29 90;Chevaux vivants (à l’excl. des animaux reproducteurs de race pure ainsi que des animaux destinés à la boucherie);
0101 30 00;Ânes, vivants;
0101 90 00;Mulets et bardots, vivants;
0102;Animaux vivants de l'espèce bovine;
0102 21;Bovins domestiques reproducteurs de race pure;
0102 21 10;Génisses [bovins femelles qui n’ont jamais vêlé] reproductrices, de race pure;
0102 21 30;Vaches reproductrices, de race pure (à l’excl. des génisses);
0102 21 90;Bovins domestiques reproducteurs, de race pure (à l’excl. des vaches et des génisses);
0102 29;Bovins domestiques vivants (à l'excl. des animaux reproducteurs de race pure);
0102 29 05;Bovins domestiques vivants, du sous-genre Bibos ou Poephagus (à l'excl. des animaux reproducteurs de race pure);
0102 29 10;Bovins domestiques vivants, d’un poids <= 80 kg (à l’excl. des animaux reproducteurs de race pure);
0102 29 21;Bovins domestiques d’un poids > 80 kg mais <= 160 kg, destinés à la boucherie;
0102 29 29;Bovins domestiques vivants, d’un poids > 80 kg mais <= 160 kg (à l’excl. des animaux reproducteurs de race pure et des animaux destinés à la boucherie);
0102 29 41;Bovins domestiques d’un poids > 160 kg mais <= 300 kg, destinés à la boucherie;
0102 29 49;Bovins domestiques vivants, d’un poids > 160 kg mais <= 300 kg (à l’excl. des animaux reproducteurs de race pure et des animaux destinés à la boucherie);
0102 29 51;Génisses [bovins femelles qui n’ont jamais vêlé] d’un poids > 300 kg, destinées à la boucherie;
0102 29 59;Génisses [bovins femelles qui n’ont jamais vêlé] vivantes, d’un poids > 300 kg (à l’excl. des animaux reproducteurs de race pure et des animaux destinés à la boucherie);
0102 29 61;Vaches d’un poids > 300 kg, destinées à la boucherie (à l’excl. des génisses);
0102 29 69;Vaches vivantes, d’un poids > 300 kg (à l’excl. des animaux reproducteurs de race pure, des génisses et des animaux destinés à la boucherie);
0102 29 91;Bovins domestiques d’un poids > 300 kg, destinés à la boucherie (à l’excl. des génisses et des vaches);
0102 29 99;Bovins domestiques vivants, d’un poids > 300 kg (à l’excl. des vaches, des génisses, des animaux reproducteurs de race pure et des animaux destinés à la boucherie);
0102 31 00;Buffles reproducteurs de race pure;
0102 39;Buffles vivants (à l'excl. des animaux reproducteurs de race pure);
0102 39 10;Buffles domestiques, vivants (à l'excl. des animaux reproducteurs de race pure);
0102 39 90;Buffles vivants (à l'excl. des espèces domestiques et des animaux reproducteurs de race pure);
0102 90;Animaux vivants de l'espèce bovine (à l'excl. des bovins domestiques et des buffles);
0102 90 20;Animaux reproducteurs de race pure de l'espèce bovine (à l'excl. des bovins domestiques et des buffles);
0102 90 91;Animaux domestiques vivants de l'espèce bovine (à l'excl. des bovins domestiques, des buffles et des animaux reproducteurs de race pure);
0102 90 99;Animaux vivants de l'espèce bovine (à l'excl. des bovins domestiques, des buffles, des animaux reproducteurs de race pure et des espèces domestiques);
0103;Animaux vivants de l'espèce porcine;
0103 10 00;Porcins reproducteurs de race pure;
0103 91;Porcins, vivants, d'un poids < 50 kg (à l'excl. des animaux reproducteurs de race pure);
0103 91 10;Porcins [des espèces domestiques], vivants, d'un poids < 50 kg (à l'excl. des animaux reproducteurs de race pure);
0103 91 90;Porcins des espèces non domestiques, vivants, d'un poids < 50 kg;
0103 92;Porcins, vivants, d'un poids >= 50 kg (à l'excl. des animaux reproducteurs de race pure);
0103 92 11;Truies, [des espèces domestiques], vivantes, d'un poids >= 160 kg, ayant mis bas au moins une fois (à l'excl. des animaux reproducteurs de race pure);
0103 92 19;Porcins [des espèces domestiques], vivants, d'un poids >= 50 kg (à l'excl. des animaux reproducteurs de race pure et des truies d'un poids >= 160 kg ayant mis bas au moins une fois);
0103 92 90;Porcins, des espèces non domestiques, vivants, d'un poids >= 50 kg;
0104;Animaux vivants des espèces ovine ou caprine;
0104 10;Ovins, vivants;
0104 10 10;Ovins reproducteurs de race pure;
0104 10 30;Agneaux jusqu'à l'âge d'un an, vivants (à l'excl. des animaux reproducteurs de race pure);
0104 10 80;Ovins, vivants (à l'excl. des agneaux et des animaux reproducteurs de race pure);
0104 20;Caprins, vivants;
0104 20 10;Caprins reproducteurs de race pure;
0104 20 90;Caprins, vivants (à l'excl. des animaux reproducteurs de race pure);
0105;Coqs, poules, canards, oies, dindons, dindes et pintades [des espèces domestiques], vivants;
0105 11;Coqs et poules [des espèces domestiques], vivants, d'un poids <= 185 g;
0105 11 11;Poussins femelles de sélection et de multiplication, de race de ponte [des espèces domestiques], d'un poids <= 185 g;
0105 11 19;Poussins femelles de sélection et de multiplication [des espèces domestiques], d'un poids <= 185 g (à l'excl. des animaux de race de ponte);
0105 11 91;Coqs et poules de race de ponte [des espèces domestiques], d'un poids <= 185 g (à l'excl. des poussins femelles de sélection et de multiplication);
0105 11 99;Coqs et poules [des espèces domestiques], vivants, d'un poids <= 185 g (à l'excl. des animaux de race de ponte ainsi que des poussins femelles de sélection et de multiplication);
0105 12 00;Dindes et dindons [des espèces domestiques], vivants, d'un poids <= 185 g;
0105 13 00;Canards domestiques, vivants, d’un poids <= 185 g;
0105 14 00;Oies domestiques, vivantes, d’un poids <= 185 g;
0105 15 00;Pintades domestiques, vivantes, d’un poids <= 185 g;
0105 94 00;Coqs et poules [des espèces domestiques], vivants, d'un poids > 185 g;
0105 99;Canards, oies, dindons, dindes et pintades [des espèces domestiques], vivants, d'un poids > 185 g;
0105 99 10;Canards [des espèces domestiques], vivants, d'un poids > 185 g;
0105 99 20;Oies [des espèces domestiques], vivantes, d'un poids > 185 g;
0105 99 30;Dindons et dindes [des espèces domestiques], vivants, d'un poids > 185 g;
0105 99 50;Pintades [des espèces domestiques], vivantes, d'un poids > 185 g;
0106;Animaux vivants (à l'excl. des animaux des espèces chevaline, asine, mulassière, bovine, porcine, ovine ou caprine, des coqs, poules, canards, oies, dindons, dindes et pintades [des espèces domestiques], des poissons, crustacés, mollusques et autres invertébrés aquatiques ainsi que des cultures de micro-organismes et produits simil.);
0106 11 00;Primates, vivants;
0106 12 00;"Baleines, dauphins et marsouins (mammifères de l'ordre des cétacés); lamantins et dugongs (mammifères de l'ordre des siréniens); otaries et phoques, lions de mer et morses (mammifères du sous-ordre des pinnipèdes), vivants";
0106 13 00;Chameaux et autres camélidés (Camélidés), vivants;
0106 14;Lapins et lièvres, vivants;
0106 14 10;Lapins domestiques, vivants;
0106 14 90;Lapins et lièvres, vivants (à l'excl. des lapins domestiques);
0106 19 00;Mammifères vivants (à l’excl. des primates, des baleines, dauphins et marsouins, des lamantins et dugongs, des otaries et phoques, lions de mer et morses, des chameaux et autres camélidés, des lapins et lièvres et des animaux des espèces chevaline, asine, mulassière, bovine, porcine, ovine ou caprine);
0106 20 00;Reptiles [p.ex. serpents, tortues, alligators, caïmans, iguanes, gavials et lézards], vivants;
0106 31 00;Oiseaux de proie, vivants;
0106 32 00;Psittaciformes [y.c. les perroquets, perruches, aras et cacatoès], vivants;
0106 33 00;Autruches, émeus (Dromaius novaehollandiae), vivants;
0106 39;Oiseaux, vivants (à l’excl. des oiseaux de proie, psittaciformes, perroquets, perruches, aras, cacatoès, autruches et émeus);
0106 39 10;Pigeons, vivants;
0106 39 80;Oiseaux, vivants (à l’excl. des oiseaux de proie, psittaciformes, perroquets, perruches, aras, cacatoès, autruches, émeus et pigeons);
0106 41 00;Abeilles, vivantes;
0106 49 00;Insectes, vivants (à l'excl. des abeilles);
0106 90 00;Animaux, vivants (à l’excl. des mammifères, reptiles, oiseaux, insectes, poissons, crustacés, mollusques et autres invertébrés aquatiques ainsi que des cultures de micro-organismes et des produits simil.);
CHAPITRE 2;VIANDES ET ABATS COMESTIBLES;
0201;Viandes des animaux de l'espèce bovine, fraîches ou réfrigérées;
0201 10 00;Carcasses ou demi-carcasses, de bovins, fraîches ou réfrigérées;
0201 20;Morceaux non-désossés, de bovins, frais ou réfrigérés (à l'excl. des carcasses et des demi-carcasses);
0201 20 20;"Quartiers dits ""compensés"", de bovins, non désossés, frais ou réfrigérés";
0201 20 30;Quartiers avant de bovins, attenants ou séparés, non désossés, frais ou réfrigérés;
0201 20 50;Quartiers arrière de bovins, attenants ou séparés, non désossés, frais ou réfrigérés;
0201 20 90;Viandes de bovins, non désossées, fraîches ou réfrigérées (à l'excl. des carcasses et demi-carcasses, des quartiers compensés et des quartiers avant et arrière);
0201 30 00;Viandes désossées de bovins, fraîches ou réfrigérées;
0202;Viandes des animaux de l'espèce bovine, congelées;
0202 10 00;Carcasses ou demi-carcasses, de bovins, congelées;
0202 20;Morceaux non-désossés, de bovins, congelés (à l'excl. des carcasses et des demi-carcasses);
0202 20 10;Quartiers compensés de bovins, non désossés, congelés;
0202 20 30;Quartiers avant de bovins, attenants ou séparés, non désossés, congelés;
0202 20 50;Quartiers arrière de bovins, attenants ou séparés, non désossés, congelés;
0202 20 90;Viandes de bovins, non désossées, congelées (à l'excl. des carcasses et demi-carcasses, des quartiers compensés et des quartiers avant et arrière);
0202 30;Viandes désossées de bovins, congelées;
0202 30 10;Quartiers avant de bovins, désossés, congelés, entiers ou découpés en cinq morceaux au maximum, chaque quartier avant étant présenté en un seul bloc de congélation, ou quartiers compensés présentés en deux blocs de congélation contenant, l'un, le quartier avant entier ou découpé en cinq morceaux au maximum et, l'autre, le quartier arrière, à l'excl. du filet, en un seul morceau;
0202 30 50;Découpes de quartiers avant et de poitrines australiennes de bovins, désossées, congelées;
0202 30 90;Viandes désossées de bovins, congelées (à l'excl. des quartiers avant entiers ou découpés en cinq morceaux au maximum, chaque quartier avant étant présenté en un seul bloc de congélation, ou quartiers compensés présentés en deux blocs de congélation contenant, l'un, le quartier avant entier ou découpé en cinq morceaux au maximum et, l'autre, le quartier arrière [sauf filet, en un seul morceau] ainsi que les découpes de quartiers avant et de poitrines australiennes);
0203;Viandes des animaux de l'espèce porcine, fraîches, réfrigérées ou congelées;
0203 11;Carcasses ou demi-carcasses, de porcins, fraîches ou réfrigérées;
0203 11 10;Carcasses ou demi-carcasses, de porcins domestiques, fraîches ou réfrigérées;
